"","countrycode","rank","countryname","gdpinusd"
"6","USA",1,"United States",16244600
"7","CHN",2,"China",8227103
"8","JPN",3,"Japan",5959718
"9","DEU",4,"Germany",3428131
"10","FRA",5,"France",2612878
"11","GBR",6,"United Kingdom",2471784
"12","BRA",7,"Brazil",2252664
"13","RUS",8,"Russian Federation",2014775
"14","ITA",9,"Italy",2014670
"15","IND",10,"India",1841710
"16","CAN",11,"Canada",1821424
"17","AUS",12,"Australia",1532408
"18","ESP",13,"Spain",1322965
"19","MEX",14,"Mexico",1178126
"20","KOR",15,"Korea, Rep.",1129598
"21","IDN",16,"Indonesia",878043
"22","TUR",17,"Turkey",789257
"23","NLD",18,"Netherlands",770555
"24","SAU",19,"Saudi Arabia",711050
"25","CHE",20,"Switzerland",631173
"26","SWE",21,"Sweden",523806
"27","IRN",22,"Iran, Islamic Rep.",514060
"28","NOR",23,"Norway",499667
"29","POL",24,"Poland",489795
"30","BEL",25,"Belgium",483262
"31","ARG",26,"Argentina",475502
"32","AUT",27,"Austria",394708
"33","ZAF",28,"South Africa",384313
"34","VEN",29,"Venezuela, RB",381286
"35","COL",30,"Colombia",369606
"36","THA",31,"Thailand",365966
"37","ARE",32,"United Arab Emirates",348595
"38","DNK",33,"Denmark",314887
"39","MYS",34,"Malaysia",305033
"40","SGP",35,"Singapore",274701
"41","CHL",36,"Chile",269869
"42","HKG",37,"Hong Kong SAR, China",263259
"43","EGY",38,"Egypt, Arab Rep.",262832
"44","NGA",39,"Nigeria",262597
"45","ISR",40,"Israel",258217
"46","PHL",41,"Philippines",250182
"47","GRC",42,"Greece",249099
"48","FIN",43,"Finland",247546
"49","PAK",44,"Pakistan",225143
"50","PRT",45,"Portugal",212274
"51","IRL",46,"Ireland",210771
"52","IRQ",47,"Iraq",210280
"53","DZA",48,"Algeria",205789
"54","PER",49,"Peru",203790
"55","KAZ",50,"Kazakhstan",203521
"56","CZE",51,"Czech Republic",196446
"57","ROM",52,"Romania",192711
"58","UKR",53,"Ukraine",176309
"59","QAT",54,"Qatar",171476
"60","NZL",55,"New Zealand",167347
"61","KWT",56,"Kuwait",160913
"62","VNM",57,"Vietnam",155820
"63","HUN",58,"Hungary",124600
"64","BGD",59,"Bangladesh",116355
"65","AGO",60,"Angola",114147
"66","PRI",61,"Puerto Rico",101496
"67","MAR",62,"Morocco",95982
"68","SVK",63,"Slovak Republic",91149
"69","ECU",64,"Ecuador",84040
"70","SYR",65,"Syrian Arab Republic",73672
"71","OMN",66,"Oman",69972
"72","CUB",67,"Cuba",68234
"73","AZE",68,"Azerbaijan",66605
"74","BLR",69,"Belarus",63267
"75","LKA",70,"Sri Lanka",59423
"76","HRV",71,"Croatia",59228
"77","DOM",72,"Dominican Republic",59047
"78","SDN",73,"Sudan",58769
"79","LUX",74,"Luxembourg",55178
"80","UZB",75,"Uzbekistan",51113
"81","BGR",76,"Bulgaria",50972
"82","GTM",77,"Guatemala",50234
"83","URY",78,"Uruguay",49920
"84","TUN",79,"Tunisia",45662
"85","SVN",80,"Slovenia",45279
"86","CRI",81,"Costa Rica",45104
"87","MAC",82,"Macao SAR, China",43582
"88","LBN",83,"Lebanon",42945
"89","LTU",84,"Lithuania",42344
"90","ETH",85,"Ethiopia",41605
"91","GHA",86,"Ghana",40711
"92","KEN",87,"Kenya",40697
"93","SRB",88,"Serbia",37489
"94","PAN",89,"Panama",36253
"95","YEM",90,"Yemen, Rep.",35646
"96","TKM",91,"Turkmenistan",35164
"97","JOR",92,"Jordan",31015
"98","BHR",93,"Bahrain",29044
"99","LVA",94,"Latvia",28373
"100","TZA",95,"Tanzania",28242
"101","BOL",96,"Bolivia",27035
"102","PRY",97,"Paraguay",25502
"103","CMR",98,"Cameroon",25322
"104","CIV",99,"Côte d'Ivoire",24680
"105","SLV",100,"El Salvador",23864
"106","TTO",101,"Trinidad and Tobago",23320
"107","CYP",102,"Cyprus",22767
"108","EST",103,"Estonia",22390
"109","ZMB",104,"Zambia",20678
"110","AFG",105,"Afghanistan",20497
"111","UGA",106,"Uganda",19881
"112","NPL",107,"Nepal",18963
"113","HND",108,"Honduras",18434
"114","GAB",109,"Gabon",18377
"115","GNQ",110,"Equatorial Guinea",17697
"116","BIH",111,"Bosnia and Herzegovina",17466
"117","ZAR",112,"Congo, Dem. Rep.",17204
"118","BRN",113,"Brunei Darussalam",16954
"119","GEO",114,"Georgia",15747
"120","PNG",115,"Papua New Guinea",15654
"121","JAM",116,"Jamaica",14755
"122","BWA",117,"Botswana",14504
"123","MOZ",118,"Mozambique",14244
"124","SEN",119,"Senegal",14046
"125","KHM",120,"Cambodia",14038
"126","COG",121,"Congo, Rep.",13678
"127","ISL",122,"Iceland",13579
"128","NAM",123,"Namibia",13072
"129","TCD",124,"Chad",12887
"130","ALB",125,"Albania",12648
"131","NIC",126,"Nicaragua",10507
"132","MUS",127,"Mauritius",10486
"133","BFA",128,"Burkina Faso",10441
"134","MLI",129,"Mali",10308
"135","MNG",130,"Mongolia",10271
"136","SSD",131,"South Sudan",10220
"137","MDG",132,"Madagascar",9975
"138","ARM",133,"Armenia",9951
"139","ZWE",134,"Zimbabwe",9802
"140","MKD",135,"Macedonia, FYR",9613
"141","LAO",136,"Lao PDR",9418
"142","MLT",137,"Malta",8722
"143","BHS",138,"Bahamas, The",8149
"144","HTI",139,"Haiti",7843
"145","BEN",140,"Benin",7557
"146","MDA",141,"Moldova",7253
"147","RWA",142,"Rwanda",7103
"148","TJK",143,"Tajikistan",6972
"149","NER",144,"Niger",6773
"150","KGZ",145,"Kyrgyz Republic",6475
"151","KSV",146,"Kosovo",6445
"152","MCO",147,"Monaco",6075
"153","GIN",148,"Guinea",5632
"154","BMU",149,"Bermuda",5474
"155","SUR",150,"Suriname",5012
"156","MNE",151,"Montenegro",4373
"157","MWI",152,"Malawi",4264
"158","BRB",153,"Barbados",4225
"159","MRT",154,"Mauritania",4199
"160","FJI",155,"Fiji",3908
"161","TGO",156,"Togo",3814
"162","SLE",157,"Sierra Leone",3796
"163","SWZ",158,"Swaziland",3744
"164","ERI",159,"Eritrea",3092
"165","GUY",160,"Guyana",2851
"166","ABW",161,"Aruba",2584
"167","BDI",162,"Burundi",2472
"168","LSO",163,"Lesotho",2448
"169","MDV",164,"Maldives",2222
"170","CAF",165,"Central African Republic",2184
"171","CPV",166,"Cape Verde",1827
"172","BTN",167,"Bhutan",1780
"173","LBR",168,"Liberia",1734
"174","BLZ",169,"Belize",1493
"175","TMP",170,"Timor-Leste",1293
"176","LCA",171,"St. Lucia",1239
"177","ATG",172,"Antigua and Barbuda",1134
"178","SYC",173,"Seychelles",1129
"179","SLB",174,"Solomon Islands",1008
"180","GMB",175,"Gambia, The",917
"181","GNB",176,"Guinea-Bissau",822
"182","VUT",177,"Vanuatu",787
"183","GRD",178,"Grenada",767
"184","KNA",178,"St. Kitts and Nevis",767
"185","VCT",180,"St. Vincent and the Grenadines",713
"186","WSM",181,"Samoa",684
"187","COM",182,"Comoros",596
"188","DMA",183,"Dominica",480
"189","TON",184,"Tonga",472
"190","FSM",185,"Micronesia, Fed. Sts.",326
"191","STP",186,"São Tomé and Principe",263
"192","PLW",187,"Palau",228
"193","MHL",188,"Marshall Islands",182
"194","KIR",189,"Kiribati",175
"195","TUV",190,"Tuvalu",40
